Gravity Rank,Marketplace Rank,Vendor Code,Title,Category,Gravity,CVR,EPC,Avg Payout ($),Initial Payout ($),Rebill Payout ($),Sales Page URL,Affiliate Tools / JV Page,Contact Email,Contact Telegram,Badges,Description
13,11,"PROVIVE","ProstaVive - Powerhouse Prostate Offer","Health & Fitness / Men's Health",71,"0.39%","$0.60",143.29,143.19,0.1,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PROVIVE","https://prostavive.org/affiliates","aff@prostavive.org","","Direct Tracking Available","Heavyweight prostate offer! Converts like gangbusters. Optimized fully with massive AOV and EPCs. Top diamond vendor team."
14,28,"CBPROFCLUB","9x Platinum Vendor Wants To Share His ClickBank Profits With You","E-business & E-marketing / Affiliate Marketing",70.1,"0.36%","$0.33",69.47,63.98,5.49,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=CBPROFCLUB","https://cbprofitclub.com/","affiliates@johnthornhill.com","","","Join The ClickBank Profit Club for free to access a done for you ClickBank affiliate system, training, and follow up process to help you earn commissions while building your list. VIP members receive done for you member recruitment and higher commissions."
15,20,"FORBCHINA","Forbidden China Wealth - Brand-New Wealth Angle CB TOP Performer","Spirituality, New Age & Alternative Beliefs / General",62.4,"0.12%","$0.07",55.41,55.41,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=FORBCHINA","https://forbiddenchinawealth.com/affiliates","jv@goldenpublishinghq.com","https://t.me/ericjyc","Direct Tracking Available","From the Platinum team behind Dubai Wealth Secret comes the highly-anticipated follow-up: Forbidden China Wealth. $1.60+ EPC. Killer VSL, fresh angle, high-converting upsells. Grab your affiliate link here: https://forbiddenchinawealth.com/affiliates"
16,59,"NUMEROLOGY","Numerologist.com - Fully Personalized VSL *doubles* conversion rate","Spirituality, New Age & Alternative Beliefs / Numerology",60.3,"1.34%","$0.18",11.3,11.3,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=NUMEROLOGY","https://partners.numerologist.com/","affiliates@numerologist.com","","","Insane EPC's, with the world's ONLY dynamically-generated, fully personalized VSL (Patented technology). Test it, & you'll understand the reason for our insane conversion rates. Appeals to PD, New-Age, Self-Help, Law of Attraction & More. 65% Commissions!"
17,17,"JOINTGEN","Joint Genesis","Health & Fitness / Dietary Supplements",59.6,"0.10%","$0.17",164.45,164.08,0.37,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=JOINTGEN","https://completejointcare.net/affiliates","affiliates@allgood.com","","","Joint Genesis is generating massive payouts for our affiliates with $3 - $5 EPCs. Our optimized funnel and upsell flow will turn Joint Genesis into your personal ATM!"
18,26,"DUBAIWS","Dubai Wealth Secret - Brand-New Forbidden Wealth Angle Going Viral","Spirituality, New Age & Alternative Beliefs / General",57.9,"0.19%","$0.09",49.67,49.67,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=DUBAIWS","https://www.goldenpublishinghq.com/gp-dws-affiliate-home","jv@goldenpublishinghq.com","https://t.me/ericjyc","Direct Tracking Available","Forbidden Dubai angle. Killer VSL. This is blowing up faster than Dubai’s skyline. This offer is converting like a monster right now: Fat $2 EPC on average and $86 AOV. GET YOUR affiliate link here: https://www.goldenpublishinghq.com/gp-dws-affiliate-home"
19,24,"DERILAERGO","Derila Ergo Memory Foam Pillow","E-Commerce / General",54.7,"1.74%","$0.95",53.78,53.78,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=DERILAERGO","https://drive.google.com/drive/u/0/folders/1aE2uEeC-LTFo8-xAos_t4q0A__8_N1fU","simona.jazdauskaite@orbio.world","https://t.me/simonaorbio","Approval Required, Direct Tracking Available, CPA Available","NO BRAND BIDDING. BIG SCALE ALERT: Featured in Funnel of the Week. Our advertorial funnel brings 4M+ monthly visits and 1,200+ daily conversions. Works exceptionally well on Google, Native & Meta. Information - https://shorturl.at/gjKS6"
20,15,"ALLSLIMTEA","NEW All Day Slimming Tea - Our Top Affs Make $200 Per Sale!","Health & Fitness / Dietary Supplements",54.4,"0.33%","$0.48",139.94,139.94,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ALLSLIMTEA","https://allslimmingherbs.com/aff","amanda.slimcrystalteas@gmail.com","","Approval Required, CPA Available","Our NEW Talkshow VSL released in January 2026 is scaling hard on Fb! Up to $200 CPA available for selected affiliates! Go to https://allslimmingherbs.com/aff to get your creative and aff links!"
21,13,"PHYTOMEM","Phytomem One: New Toxic Brain Shards Memory Offer","Health & Fitness / Mental Health",53.5,"0.55%","$0.99",162.57,162.57,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PHYTOMEM","https://getphytomemone.com/affiliates","affiliates@mediapulseltd.com","","Direct Tracking Available, CPA Available","THIS IS NOT YOUR STANDARD VSL! Unique video format hitting every major brain pain point adults 55+ are desperate to solve: memory gaps, brain fog, lost words. Evergreen market with insane upside. Lock in your spot now!"
22,21,"GLUCO6","Gluco6 - Now Open To Everyone!","Health & Fitness / Dietary Supplements",49.3,"0.12%","$0.18",138.16,138.16,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=GLUCO6","https://gluco6.com/affiliates","affiliates@gluco6.com","","","Gluco6 is a new high converting blood sugar offer from 2 Diamond affiliates and vendors. It has been in private testing with a select group of affiliates since the end of 2023 and is now open for all affiliates! CPA available for high volume affiliates."
23,9,"AUDIFORT","Audifort - Top Brain and Hearing","Health & Fitness / Dietary Supplements",47.5,"0.34%","$0.63",170.89,170.89,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=AUDIFORT","https://audifort.com/info/affiliates.html","aff@audifort.com","","","3% Conversion Rates and $5 EPCs - Get it Now!"
24,36,"SOULVOICE","Tara Lunar's Soulmate Sketch BRAND NEW","Spirituality, New Age & Alternative Beliefs / Astrology",46.9,"0.25%","$0.13",56.37,56.37,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SOULVOICE","https://start.mysoulmateprofile.com/affiliates/","affiliates@mysoulmateprofile.com","","","Killer EPCs + 75% commissions. Works on cold traffic, email, FB & reels."
25,33,"WEALTHSIG","The Wealth Signal","Spirituality, New Age & Alternative Beliefs / General",46.5,"0.25%","$0.11",45.53,45.53,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=WEALTHSIG","https://wealthsignaloriginal.com/Affiliates/","affiliates@binauraltechnologies.com","","Direct Tracking Available","High conversions, FAT EPC’s, killer copy, and a great product. This is a BRAND-NEW VSL monster. Go HERE to get your link: https://thewealthsignal.com/Affiliates/ Test your traffic and SEE why aff’s love this promoting this offer."
26,19,"VISIFLORA","VisiFlora - New Vision / Gut Health Hybrid Offer (Blue Ocean)","Health & Fitness / Dietary Supplements",45.8,"0.48%","$0.77",152.44,152.44,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=VISIFLORA","https://getvisiflora.com/affiliates/","affiliates@mediapulseltd.com","","Direct Tracking Available, CPA Available","This isn't another ""lutein + zinc"" snooze-fest. Targets the MASSIVE vision market (50+ demo) with a mechanism nobody's running yet = easy conversions. Smart affiliates are locking this in NOW before the market catches on."
27,51,"HISSECRET","His Secret Obsession -Incredible Conversions - 90% FRONT & BACK + CPA!","Self-Help / Marriage & Relationships",43.5,"0.78%","$0.35",45.95,45.17,0.79,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=HISSECRET","https://hissecretobsession.com/aff","affiliates@beirresistible.com","","Direct Tracking Available, CPA Available","UPDATED 2026! BOOSTED CPA! 90% commissions on front & back! Affiliates seeing insane $8+ EPCs plus long recurring! We spent $973,450+ testing cold traffic to make the HIGHEST CONVERTING FEMALE offers on CB! New Affiliate Area, swipes, landing pages, PDFs"
28,25,"ATTRACTBR","Billionaire Brain Wave - Brand New VSL From 8-Figure Marketer","Spirituality, New Age & Alternative Beliefs / General",43.4,"0.83%","$0.39",46.2,46.2,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ATTRACTBR","https://thebillionairebrainwave.com/Affiliates/","affiliates@binauraltechnologies.com","","Direct Tracking Available","High conversions, FAT EPC's, killer copy, and a great product. This is a BRAND-NEW VSL monster. Go HERE to get your link: https://thebillionairebrainwave.com/Affiliates. Test your traffic and SEE why aff's love this promoting this offer."
29,12,"KERASSENT","Kerassentials - Unique Fungus Dropper Offer","Health & Fitness / Beauty",43.2,"0.42%","$0.90",193.07,193.07,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=KERASSENT","https://kerassentials.com/help/affiliates.php","affiliates@kerassentials-product.com","","Approval Required, CPA Available","Unique Angle for a Quality Fungus Serum! The EPC Is Exceeding All Expectations (Up to $4)! This Offer Could Make Your Best Month Ever On Fb,Native,Email. Do not miss out."
30,7,"TINAPSC","Tina Aldea | Soulmate Sketch [Best Converting] [Rebill] [2026 Updated]","Spirituality, New Age & Alternative Beliefs / Psychics",41,"25.57%","$18.51",70.87,70.83,0.05,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=TINAPSC","https://aff-tinaaldea.com/affiliatepage","reachoutontelegram@thankyou.com","https://t.me/TrailBlazer11","Direct Tracking Available","Tested And Proven On ICE-COLD Traffic: Over $900,000 In Spend Of Our OWN CASH Before Launching On ClickBank."
31,23,"NOBOOST","NITRIC BOOST-New Explosive Male Enhancement Offer-Crazy High CVR & AOV","Health & Fitness / Men's Health",39.7,"0.22%","$0.31",139.97,139.97,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=NOBOOST","https://getnitricboost.com/affiliates","affiliates@getnitricboost.com","","Approval Required, Direct Tracking Available, CPA Available","NEW CONTEST - APPLY FOR $200 CPA EARNINGS ALERT: This Explosive Men's Health Supplement gets Affiliates Astonishing EPCs On Cold Traffic & Email Lists. Brought to you by 6-time Diamond vendors Start promoting here: https://getnitricboost.com/affiliates"
32,30,"MEMORYW","The Memory Wave","Health & Fitness / General",39.3,"0.48%","$0.25",51.7,51.7,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=MEMORYW","https://memorywaveoriginal.com/Affiliates/","affiliates@binauraltechnologies.com","","","Insane CVR's and EPC's. Neuroscientist-endorsed. Click here to get your link and CPA PAYOUTS: https://memorywaveoriginal.com/Affiliates/ This offer is from the creators of The Genius Wave. Jump on it now."
33,35,"THOUGHTOP","Moon Reading - Interactive Astrology Reading that converts like CRAZY!","Spirituality, New Age & Alternative Beliefs / Astrology",39.2,"0.86%","$0.30",28.98,26.16,2.83,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=THOUGHTOP","https://www.moonreading.com/partners/","brad@moonreading.com","","Approval Required","Hyper accurate Astrology Reading trending on TikTok and IG! Forget ""shocking"" VSLs with stock footage, this fully personalized reading takes astrology to a new level. Make $$$ on Email, Cold Traffic or SM. Your audience will LOVE this video reading!"
34,31,"SPARTAMAX","Spartamax - Brand New Male Enhancement w/ Insane EPCs","Health & Fitness / Men's Health",38.4,"0.15%","$0.20",137.35,136.37,0.98,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SPARTAMAX","https://getspartamax.com/cb-affiliates.php","affiliates@spartamax.vip","","CPA Available","CPA starts at $150 and goes up! Diamond level vendors. Crazy conversions and EPC on FB, YT, Tik Tok, native, email lists. AOV $300+."
35,80,"PIANO4ALL","Pianoforall - The Incredible New Way To Learn Piano and Keyboards","Arts & Entertainment / Music",35.2,"1.57%","$0.50",29.91,29.91,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PIANO4ALL","https://pianoforall.com/affiliate-program","info.pianoforall@gmail.com","","","The TOP Piano product on Clickbank. Good conversion rate and very low refund rate (3% average) because of amazing verifiable testimonials. Great affiliate resource site. We try our best to look after our affiliates."
36,39,"PROSTADINE","Prostadine - New Monster In The Prostate Health Niche","Health & Fitness / Men's Health",34.9,"0.58%","$0.99",141.8,141.8,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PROSTADINE","https://getprostadine.com/help/affiliates.php","affiliates@prostadine-product.com","","Approval Required, CPA Available","Killer Conversions & EPCs With One Unique Prostate Dropper. This Could Mark Your Best Month Ever On Native/Email/Fb/Yt. Great Upsells, Low Refunds & Creatives That Convert Like Crazy. Fill Out The Form On Our Affiliate Page And Get On Board!"
37,60,"SCIENCEGEN","iGenics - Hot New Vision Offer","Health & Fitness / Dietary Supplements",34.9,"0.58%","$0.73",120.71,120.71,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SCIENCEGEN","https://visionbreakthrough.com/aff","support@sciencegenics.com","","CPA Available","iGenics $155+ avg payout per sale! Vision supplement that contains 12 premium vision ingredients. This vision offer was written by 8 figure copy expert. 1.5-3.5% CVR with supplement buyers 55+ demographics. Great commissions (65%/60%). Email for 70% bump."
38,97,"FORBSECRET","The Forbidden Secret - New Manifestation BANGER","Spirituality, New Age & Alternative Beliefs / General",33.8,"0.90%","$0.37",43.59,43.59,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=FORBSECRET","https://www.soul-mountain.com/fbsecret","","","","High converting BANGER, PROVEN on both email and cold traffic | 80% payouts after first sale | $141 AOVs) Get your link now: https://www.soul-mountain.com/fbsecret"
39,34,"GETNEURO","Neuro Serge","Health & Fitness / Dietary Supplements",33.6,"0.07%","$0.13",187.03,187.03,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=GETNEURO","https://getneuroserge.com/affiliates","jessie@thedirectmediaagency.com","https://t.me/jessieoslie90","Direct Tracking Available, CPA Available","Monster brain offer NEW 2025! Kills it on all lists. $180+ CPA and direct tracking available! Split tested and optimized to scale on FB/Native/Email/YT traffic. $5+ EPC's! Get resources and links here: https://getneuroserge.com/affiliates"
40,38,"NEUROENERG","Neuro Energizer - New Manifestation VSL heavily tested on cold traffic","Health & Fitness / General",33.3,"0.35%","$0.22",63.03,63.03,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=NEUROENERG","https://neuroenergizer.com/affiliates","email@reachoutaffiliates.com","","","From a ClickBank Platinum Vendor. Neuro Energizer is a proven brain enhancement offer we’ve personally tested with our own ad spend on Facebook and Meta. Fully optimized for cold traffic with 2–5% conversions and an $80–$90 AOV."
41,47,"00SMANIF","Soul Manifestation: SEPTEMBER 2025 FUNNEL - AOV $100 - $.75 EPC","Spirituality, New Age & Alternative Beliefs / General",32.9,"0.98%","$0.35",35.16,35.16,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=00SMANIF","https://leaderboard.neuromedia.com/","affs@neuromailer.com","","Direct Tracking Available","3x DIAMOND vendor! Average epc of $.50 - $1 for high quality lists! Soul Manifestation the DIAMOND offer with $5.9mil in sales since 2020 is now back, and better than ever before. NEW JULY 2025 FUNNEL doubled AOV!"
42,89,"4KIDNEYS","Chronic Kidney Disease Solution CKD","Health & Fitness / Remedies",31.9,"1.53%","$0.60",35.38,35.38,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=4KIDNEYS","https://blueheronaffiliates.com/the-chronic-kidney-disease-solution-affiliate-center/","affiliates@blueheronhealthguides.com","","","Brand New, Unique Offer Focusing On Chronic Kidney Disease CKD. Great Converter for both men and women over 40. Part Of Blueheronaffiliates.com"
43,41,"PGRDNVIP","Pineal Guardian X – Brand New 2026 Copy & Lead | Top Brain Offer EPC","Health & Fitness / Dietary Supplements",31.5,"0.13%","$0.19",142.11,142.11,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PGRDNVIP","https://thepinealguardian.com/affiliates/","affiliates@thepinealguardian.com","https://t.me/wennschondennschon","","Brand new 2026 VSL with MD spokesperson crushing the brain/memory niche. Fresh copy + fresh lead = fresh results on tired audiences. $3 EPC, over $300 AOV, converts on email & cold media traffic. Full swipe file, banners & dedicated affiliate support"
44,65,"SEPTIFIX","SEPTIFIX - The #1 Septic Tank Treatment in US - Huge Niche $$$!","Green Products / Conservation & Efficiency",31.5,"0.54%","$0.46",75.52,75.52,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SEPTIFIX","https://septifix.com/aff","septifix@gmail.com","","Direct Tracking Available","Promote & Make over $3 EPC in this huge niche - over 40 M houses in US have a septic tank with issues!"
45,37,"JAVABURN","Java Burn 2.0 now LIVE!","Health & Fitness / Dietary Supplements",30.5,"0.50%","$0.95",167.62,167.62,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=JAVABURN","https://morningcoffeeritual.net/affiliates","jackie@jvwithae.com","","","Just released into the wild. This new incarnation of Java Burn takes it to the next level with higher conversions and higher AOVs. It's GO TIME! Go here for more details: https://morningcoffeeritual.net/affiliates"
46,48,"LIVPURE","Liv Pure","Health & Fitness / Dietary Supplements",30.5,"0.25%","$0.47",174.94,174.94,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=LIVPURE","https://liv-pure.co/affiliates","jackie@jvwithae.com","","","One of the most explosive offers in decades. Go here for details: https://liv-pure.org/affiliates"
47,50,"SEEROFCASH","The Seer of Truths - RECURRING COMMISSIONS, Live Psychic Chat","Spirituality, New Age & Alternative Beliefs / Psychics",29.2,"0.66%","$0.23",44.22,35.48,8.74,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SEEROFCASH","https://www.theseeroftruths.com/affiliates","julian@theseeroftruths.com","https://t.me/a_bc12345","","$0.50 - $0.60+ EPCs from biggest super-affs in the niche. Ultra-personalized chat with master psychic Julian Sinclair leads to monster conversions and fat EPC for you. The Seer of Truths? More like the Seer of CASH."
48,58,"PROVADENT","ProvaDent - NEW Doctor Endorsed Dental Offer - $4+ EPC","Health & Fitness / Dental Health",28.2,"0.36%","$0.54",158.39,158.31,0.08,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PROVADENT","http://getprovadent.com/affiliates/","affiliates@getprovadent.com","","Direct Tracking Available, CPA Available","Unlike other popular dental offers, ProvaDent is backed by real-life, highly respected dentist who brings a whole other level of credibility to this offer…along with CRAZY conversions! Start Promoting NOW"
49,63,"MONEYSCRIP","The Money Script","Spirituality, New Age & Alternative Beliefs / General",28.1,"0.92%","$0.43",45.4,45.4,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=MONEYSCRIP","https://themoneyscriptoriginal.com/Affiliates/","affiliates@binauraltechnologies.com","","","If you've got traffic, your EPC's will be BANANAS. There's no offer like this one. Go HERE to get your link: https://themoneyscriptoriginal.com/Affiliates/. Aff's are SCALING RN. Join them."
50,61,"ALEXPFS","Pelvic Floor Strong - Women 40+ Offer | Long-standing Diamond Seller","Health & Fitness / Women's Health",27.1,"0.67%","$0.48",69.22,69.1,0.12,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ALEXPFS","https://upperbodystretch.com/affiliates","support@linenryangroup.com","","Approval Required, Direct Tracking Available, CPA Available","New VSL just launched boosting conversions by 40%. This women’s health offer is dominating the 40+ market. The fully optimized funnel and fresh swipes are built to scale. High intent traffic. Low competition. Serious earning potential."
51,45,"TITANFLOW","TitanFlow Prostate Support Supplement","Health & Fitness / Men's Health",26.7,"0.20%","$0.27",136.12,136.12,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=TITANFLOW","https://prostaterevealed.com/affiliates/","affiliates@allgood.com","","","TitanFlow is generating massive payouts for our affiliates with $3 - $5 EPCs. Our optimized funnel and upsell flow will turn TitanFlow into your personal ATM!"
52,49,"LBJUICE","Ikaria Juice","Health & Fitness / Dietary Supplements",26.6,"0.43%","$0.51",119.77,119.77,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=LBJUICE","https://theikariajuice.com/affiliates","aff@leanbellyjuice.com","","Direct Tracking Available, CPA Available","White Hot Weight Loss Offer Is Crushing It Going STRONG in 2024! Get Started Now! Go here https://theikariajuice.com/affiliates"
53,42,"CHOLIBRIUM","Cholibrium| Heart Health Offer | Huge Market","Health & Fitness / Dietary Supplements",26.2,"0.30%","$0.36",119.9,119.9,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=CHOLIBRIUM","https://cb.cholibrium.com/aff/afftools.php","cb.cholibrium.affhelp@truegenics.com","","","High-Performing Offer on Private Network released on Clickbank. - Mushrooms into a single daily capsule specifically formulated to support heart health in adults 40+."
54,83,"ARCTICB","ArcticBlast - #1 OTC topical pain relief drops has arrived!!","Health & Fitness / Dietary Supplements",25.2,"1.09%","$0.82",79.38,79.38,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ARCTICB","https://cb.getarcticblast.com/aff/","cb.affhelp@truegenics.com","https://t.me/iamedmund1","","Made over $13.9M in sales on our network and is now available on ClickBank. For more details, go to: https://cb.getarcticblast.com/aff/"
55,103,"SO50SUPP","All Day Slimming Tea FREE + Shipping Funnel - Our NEW 2025 VSL Rocks!","Health & Fitness / Dietary Supplements",25.1,"0.80%","$0.28",23.44,22.83,0.6,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SO50SUPP","https://alldayslimmingteafree.com/aff/","amanda.slimcrystalteas@gmail.com","","Approval Required","Up to $7.9 EPC and 14% Conversion rate with our F+S funnel! ALL affiliates rave about it as the offer works on ALL types of health traffic. Promote our NEW 2025 VSL now and you'll be shocked at how much you make per click!"
56,167,"SOCIALPAID","Get Paid To Use Facebook, Twitter and YouTube","E-business & E-marketing / Social Media Marketing",24.7,"0.16%","$0.02",18.84,15.08,3.76,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SOCIALPAID","http://payingsocialmediajobs.com/affiliates/","email@reachoutaffiliates.com","","","12 years on CB! Social Media and all MMO traffic. Everyone wants to get paid to be on Facebook. Dedicated affiliate manager, bonuses, commission bumps custom landing pages, geo-targeting. We will help you make commissions! Paying Social Media Jobs"
